7.146249405345022296e+02,1.776915399870354122e+03
7.752282405039849209e+02,1.914113554385658290e+03
6.460121556687417979e+02,2.118808442718375318e+03
7.385038529172956032e+02,1.862331987510184945e+03
6.875718202259631653e+02,1.625509219778556599e+03
7.568924275935210062e+02,2.137692152648741740e+03
9.519975521360792072e+02,8.218370742463521310e+02
9.025152622221156662e+02,7.449424166548601534e+02
9.740868170233902674e+02,8.694487559609043501e+02
9.459511996208746041e+02,7.754588553293523319e+02
9.011131924344899744e+02,7.483391774360140971e+02
9.527371592738811614e+02,8.274356394852222820e+02
1.204466197795994049e+03,1.269732078806614027e+03
1.176905460292623047e+03,1.208216651885769352e+03
1.207229268824217343e+03,1.198393365101481322e+03
1.149118489951806851e+03,1.199217506824965085e+03
1.204809314228739140e+03,1.242016685866084572e+03
1.171399381030402083e+03,1.258371725938193549e+03
1.251510705243921620e+03,1.415065967564918992e+03
1.248796078874730938e+03,1.450414785236243461e+03
1.215859644513511967e+03,1.451918248380841078e+03
1.238189044652945540e+03,1.388313385205572104e+03
1.233753355590727097e+03,1.485855774821291561e+03
1.236793472818151713e+03,1.419040249115977531e+03
1.213823059376733909e+03,1.420662290964472732e+03
1.229730067317509565e+03,1.448065615794088444e+03
1.200331255335746619e+03,1.459160822539791070e+03
1.223175726592743558e+03,1.462838235124282846e+03
1.224458412297661880e+03,1.397104607982069183e+03
1.259804499481367884e+03,1.486660345382886590e+03
