0.000000000000000000e+00,6.866585378783956912e+02,1.965466663144583890e+03,1.000000000000000000e+00
1.000000000000000056e-01,6.803614508474877312e+02,1.377065988972839932e+03,0.000000000000000000e+00
2.000000000000000111e-01,6.901592430759868648e+02,1.035016272220746032e+03,1.000000000000000000e+00
3.000000000000000444e-01,7.103147020704212764e+02,8.438335548189863857e+02,0.000000000000000000e+00
4.000000000000000222e-01,7.370987343320507534e+02,7.442630770188003453e+02,0.000000000000000000e+00
5.000000000000000000e-01,7.680558433458309082e+02,7.005450653280693132e+02,1.000000000000000000e+00
6.000000000000000888e-01,8.015229067830083522e+02,6.913033940211280424e+02,0.000000000000000000e+00
7.000000000000000666e-01,8.363269984535975254e+02,7.037167641638064879e+02,0.000000000000000000e+00
8.000000000000000444e-01,8.716013106828629589e+02,7.299855185524377248e+02,0.000000000000000000e+00
9.000000000000000222e-01,9.066758252682881221e+02,7.652449338411468034e+02,0.000000000000000000e+00
1.000000000000000000e+00,9.410141691940175406e+02,8.063470977583275499e+02,1.000000000000000000e+00
1.100000000000000089e+00,9.741784823504041242e+02,8.511533572650799897e+02,0.000000000000000000e+00
1.200000000000000178e+00,1.005810862878921284e+03,8.981249425786929805e+02,0.000000000000000000e+00
1.300000000000000044e+00,1.035624162975673471e+03,9.460879352128483788e+02,0.000000000000000000e+00
1.400000000000000133e+00,1.063397548231180508e+03,9.941006528778932534e+02,0.000000000000000000e+00
1.500000000000000000e+00,1.088973913395857835e+03,1.041381349263883976e+03,0.000000000000000000e+00
1.600000000000000089e+00,1.112257372099246822e+03,1.087271156269889389e+03,0.000000000000000000e+00
1.700000000000000178e+00,1.133209824570295496e+03,1.131217032970499531e+03,0.000000000000000000e+00
1.800000000000000044e+00,1.151846172132777383e+03,1.172765248295974743e+03,0.000000000000000000e+00
1.900000000000000133e+00,1.168228152813042698e+03,1.211559453873953316e+03,0.000000000000000000e+00
2.000000000000000000e+00,1.182457043567740584e+03,1.247339623775475957e+03,1.000000000000000000e+00
2.100000000000000089e+00,1.194665637178154157e+03,1.279939722239551429e+03,0.000000000000000000e+00
2.200000000000000178e+00,1.205009965170567057e+03,1.309283008399650953e+03,0.000000000000000000e+00
2.300000000000000266e+00,1.213661225642918453e+03,1.335374684279000121e+03,0.000000000000000000e+00
2.400000000000000355e+00,1.220798313194604816e+03,1.358292136624362684e+03,0.000000000000000000e+00
2.500000000000000000e+00,1.226601247349786263e+03,1.378173365467773920e+03,0.000000000000000000e+00
2.600000000000000089e+00,1.231245686703326101e+03,1.395204363208304585e+03,0.000000000000000000e+00
2.700000000000000178e+00,1.234898610497993559e+03,1.409606242578707906e+03,0.000000000000000000e+00
2.800000000000000266e+00,1.237715156923971335e+03,1.421622842791489802e+03,0.000000000000000000e+00
2.900000000000000355e+00,1.239836537532237116e+03,1.431509403544299175e+03,0.000000000000000000e+00
3.000000000000000000e+00,1.241388900534493132e+03,1.439522731076005357e+03,1.000000000000000000e+00
